Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.00     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      78/78          int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [37]
[8]      0.0    0.00    0.00      78         int* std::__niter_base<int*>(int*) [8]
-----------------------------------------------
                0.00    0.00       5/57          Graph::isEulerian() [102]
                0.00    0.00      52/57          std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [51]
[9]      0.0    0.00    0.00      57         std::vector<int, std::allocator<int> >::size() const [9]
-----------------------------------------------
                0.00    0.00      13/55          void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&) [55]
                0.00    0.00      14/55          void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [44]
                0.00    0.00      14/55          void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [43]
                0.00    0.00      14/55          void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&) [42]
[10]     0.0    0.00    0.00      55         int&& std::forward<int>(std::remove_reference<int>::type&) [10]
-----------------------------------------------
                0.00    0.00      26/52          void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&) [55]
                0.00    0.00      26/52          __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [50]
[11]     0.0    0.00    0.00      52         __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const [11]
-----------------------------------------------
                0.00    0.00       5/50          Graph::isEulerian() [102]
                0.00    0.00       6/50          Graph::isConnected() [104]
                0.00    0.00      14/50          Graph::addEdge(unsigned long, unsigned long) [61]
                0.00    0.00      25/50          Graph::printGraph() [103]
[12]     0.0    0.00    0.00      50         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [12]
-----------------------------------------------
                0.00    0.00       4/40          std::_Bit_iterator::_Bit_iterator() [88]
                0.00    0.00      36/40          std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [15]
[13]     0.0    0.00    0.00      40         std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [13]
-----------------------------------------------
                0.00    0.00      13/39          __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [49]
                0.00    0.00      26/39          __gnu_cxx::new_allocator<int>::max_size() const [28]
[14]     0.0    0.00    0.00      39         __gnu_cxx::new_allocator<int>::_M_max_size() const [14]
-----------------------------------------------
                0.00    0.00       1/36          std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [154]
                0.00    0.00      35/36          std::vector<bool, std::allocator<bool> >::begin() [22]
[15]     0.0    0.00    0.00      36         std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [15]
                0.00    0.00      36/40          std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [13]
-----------------------------------------------
                0.00    0.00      36/36          std::operator+(std::_Bit_iterator const&, long) [18]
[16]     0.0    0.00    0.00      36         std::_Bit_iterator::operator+=(long) [16]
                0.00    0.00      36/36          std::_Bit_iterator_base::_M_incr(long) [17]
-----------------------------------------------
                0.00    0.00      36/36          std::_Bit_iterator::operator+=(long) [16]
[17]     0.0    0.00    0.00      36         std::_Bit_iterator_base::_M_incr(long) [17]
-----------------------------------------------
                0.00    0.00       1/36          std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [154]
                0.00    0.00      35/36          std::_Bit_iterator::operator[](long) const [20]
[18]     0.0    0.00    0.00      36         std::operator+(std::_Bit_iterator const&, long) [18]
                0.00    0.00      36/36          std::_Bit_iterator::operator+=(long) [16]
-----------------------------------------------
                0.00    0.00      35/35          std::_Bit_iterator::operator[](long) const [20]
[19]     0.0    0.00    0.00      35         std::_Bit_iterator::operator*() const [19]
                0.00    0.00      35/35          std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [21]
-----------------------------------------------
                0.00    0.00      35/35          std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [23]
[20]     0.0    0.00    0.00      35         std::_Bit_iterator::operator[](long) const [20]
                0.00    0.00      35/36          std::operator+(std::_Bit_iterator const&, long) [18]
                0.00    0.00      35/35          std::_Bit_iterator::operator*() const [19]
-----------------------------------------------
                0.00    0.00      35/35          std::_Bit_iterator::operator*() const [19]
[21]     0.0    0.00    0.00      35         std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [21]
-----------------------------------------------
                0.00    0.00      35/35          std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [23]
[22]     0.0    0.00    0.00      35         std::vector<bool, std::allocator<bool> >::begin() [22]
                0.00    0.00      35/36          std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [15]
-----------------------------------------------
                0.00    0.00       5/35          Graph::isConnected() [104]
                0.00    0.00      30/35          Graph::DFS(unsigned long, std::vector<bool, std::allocator<bool> >&) [106]
[23]     0.0    0.00    0.00      35         std::vector<bool, std::allocator<bool> >::operator[](unsigned long) [23]
                0.00    0.00      35/35          std::vector<bool, std::allocator<bool> >::begin() [22]
